id=2356263705	最热高清电影	http://weibo.com/u/2356263705 VM36186:8
id=1854743504	电影集结号	http://weibo.com/u/1854743504 VM36186:8
id=1635270132	1905电影网官博	http://weibo.com/cctv6m1905 VM36310:8
id=1663735900	时光网Mtime	http://weibo.com/movietime VM36310:8
id=2143550005	微影迷	http://weibo.com/weimoviefan VM36310:8
id=1769684987	看电影周刊	http://weibo.com/movieview VM36310:8
id=1885695252	全球电影榜	http://weibo.com/movietop VM36310:8
id=1890650350	20世纪福斯电影	http://weibo.com/twentiethcenturyfox VM36310:8
id=2156491220	电影风云榜	http://weibo.com/u/2156491220 VM36310:8
id=2206724733	搜狐电影	http://weibo.com/sohumovie VM36310:8
id=3225580471	惊天魔盗团2	http://weibo.com/modaotuan2013 VM36310:8
id=1822354483	电影圈	http://weibo.com/moviebiz VM36310:8
id=1407722902	直桃桃淘电影	http://weibo.com/qijiuziyue VM36310:8
id=1769684987	看电影周刊	http://weibo.com/movieview VM36310:8
id=1985551380	全球电影收录	http://weibo.com/filmtime VM36310:8
id=1776723323	IMAX	http://weibo.com/imax VM36310:8
